'motivo','arruamento','troco','entidade','tipo_de_condicionamento','data_de_início','hora_de_inicio','data_de_fim','hora_de_fim','observacoes','registo_data','coordenada_x','coordenada_y','registo_hora','ultima_modificacao_data','ultima_modificacao_hora','objectid','esriGeometryPoint'
'Outro motivo','Rua da Pena','193','','Estreitamento',1683098100000,26100000,1683153900000,81900000,'Descobrir tomada',1683068400000,-8.632297,41.15026,26280000,1683068400000,26520000,108660,'-41901.073800000384,164688.48450000025'
'Acidente rodoviário','Rua de Mota Pinto','C/ R. S. João de Brito','INEM/ PSP','Estreitamento',1683068400000,25800000,1683068400000,81900000,'',1683068400000,-8.649854,41.16631,26460000,1683068400000,26880000,109060,'-43364.27240000004,166479.65010000046'
'Avaria de telecomunicações','Rua de Serpa Pinto','541','PDT','Ocupação do passeio',1683068400000,31500000,1683068400000,33300000,'',1683068400000,-8.620528,41.1654,31560000,1683068400000,31620000,108667,'-40903.63619999963,166363.7535999999'
'Avaria de telecomunicações','Rua do Revilão','Nº 255','Wondercom','Ocupação do passeio',1683068400000,30600000,1683068400000,37800000,'Abrir CVP',1683068400000,-8.657549,41.17144,30780000,1683068400000,30900000,108666,'-44006.61859999969,167052.36999999933'
'Outro motivo','Travessa da Fontinha','n.48','','Corte total',1683068400000,27000000,1683068400000,81900000,'reparação de coletor com corte de via e com acompanhamento policial',1683068400000,-8.605288,41.15499,-1440000,1683068400000,-1320000,108659,'-39630.920099999785,165200.88639999917'
'Aluimento','Avenida de Montevideu','com a rua do Funchal','','Corte total',1683068400000,27000000,1683068400000,81900000,'Aluimento na via',1683068400000,-8.685715,41.16288,-1620000,1683068400000,-1500000,108658,'-46376.37169999998,166117.1355000003'
'Outro motivo','Rua do Monte da Estação','n.190','','Estreitamento',1683068400000,27000000,1683068400000,81900000,'reparação de CRL no passeio',1683068400000,-8.585384,41.15222,-1740000,1683068400000,-1680000,108657,'-37961.79299999962,164883.95179999972'
'Acidente rodoviário','Via de Cintura Interna','após acesso mercado abastecedor','PSP/ IP','Estreitamento',1683068400000,32580000,1683068400000,36000000,'Acidente entre duas viaturas ligeiras',1683068400000,-8.581197,41.16177,35220000,1683068400000,35340000,107870,'-37604.82529999964,165942.72330000106'
'Avaria elétrica','Rua do Duque da Terceira','Nº 394','','Ocupação do passeio',1683068400000,33600000,1683068400000,81900000,'Abrir Buraco',1683068400000,-8.598861,41.14747,33540000,1683068400000,33600000,107868,'-39095.917999999474,164362.95670000048'
'Outro motivo','Rua de S. Brás','56','','Ocupação do passeio',1683068400000,44880000,1683068400000,81900000,'reparação tampa',1683068400000,-8.61112,41.15765,44940000,1683068400000,45000000,107874,'-40118.8306999998,165498.2827000006'
